Cite Key,Title,Authors,Year,Publication Date,Journal,Citation Count,Citations/Year,DOI,URL
Abi20,"Smartphones, social media use and youth mental health",Elia Abi-Jaoude; Karline Treurnicht Naylor; Antonio Pignatiello,2020,2020-02-09,Canadian Medical Association Journal,499,77.2,10.1503/cmaj.190434,https://doi.org/10.1503/cmaj.190434
Are25,High speed internet and the widening gender gap in adolescent mental health: Evidence from Spanish hospital records.,Esther Arenas-Arroyo; Daniel Fernandez-Kranz; Natalia Nollenberger,2025,2025-05-01,Journal of health economics,10,8.1,10.1016/j.jhealeco.2025.103014,https://doi.org/10.1016/j.jhealeco.2025.103014
Auh19,Leisure Activities of Healthy Children and Adolescents,Lea Auhuber; M. Vogel; Nico Grafe; W. Kiess; T. Poulain,2019,2019-06-01,International Journal of Environmental Research and Public Health,100,14.0,10.3390/ijerph16122078,https://doi.org/10.3390/ijerph16122078
Bar26,Assessing early effects of Australia’s Social Media Minimum Age Act on adolescents’ social media use: observational study,C. Barnes; Alix E Hall; S. Mantach; Chris Oldmeadow; J. Attia; K. Backholer; Carmel Williams; Y. Tefera; F. Kay; L. Wolfenden,2026,2026-06-24,The BMJ,9,97.2,10.1136/bmj-2026-363695,https://doi.org/10.1136/bmj-2026-363695
Bau24,"A bidirectional model of sleep and technology use: A theoretical review of How much, for whom, and which mechanisms.",S. Bauducco; M. Pillion; K. Bartel; Chelsea M. Reynolds; Michal Kahn; M. Gradisar,2024,2024-04-01,Sleep medicine reviews,79,34.0,10.1016/j.smrv.2024.101933,https://doi.org/10.1016/j.smrv.2024.101933
Bel16,"Ill Communication: Technology, distraction & student performance",Louis-Philippe Beland; R. Murphy,2016,2016-08-01,Labour Economics,235,23.5,10.1016/J.LABECO.2016.04.004,https://doi.org/10.1016/J.LABECO.2016.04.004
Ben22,Banning mobile phones in schools: evidence from regional-level policies in Spain,P. Beneito; Óscar Vicente-Chirivella,2022,2022-01-25,Applied Economic Analysis,28,6.2,10.1108/aea-05-2021-0112,https://doi.org/10.1108/aea-05-2021-0112
Bic21,Current Research and Viewpoints on Internet Addiction in Adolescents,D. Bickham,2021,2021-01-09,Current Pediatrics Reports,119,21.5,10.1007/s40124-020-00236-3,https://doi.org/10.1007/s40124-020-00236-3
Bjo15,Relations between college students’ cell phone use during class and grades.,Christopher A. Bjornsen; K. Archer,2015,2015-12-01,,74,6.9,10.1037/STL0000045,https://doi.org/10.1037/STL0000045
Boe19,Association of Screen Time and Depression in Adolescence.,E. Boers; M. H. Afzali; N. Newton; P. Conrod,2019,2019-07-15,JAMA pediatrics,386,54.9,10.1001/jamapediatrics.2019.1759,https://doi.org/10.1001/jamapediatrics.2019.1759
Boe20,"Social media use intensity, social media use problems, and mental health among adolescents: Investigating directionality and mediating processes",M. Boer; G. Stevens; C. Finkenauer; M. Looze; R. J. Eijnden,2020,2020-12-05,Comput. Hum. Behav.,258,45.7,10.1016/j.chb.2020.106645,https://doi.org/10.1016/j.chb.2020.106645
Bot19,La prohibición del teléfono móvil en las escuelas en Francia,Fernando González Botija,2019,2019-04-30,,5,0.7,10.18042/CEPC/RAP.208.13,https://doi.org/10.18042/CEPC/RAP.208.13
Bra22e,Digital media use and sleep in late adolescence and young adulthood: A systematic review.,Louise A. S. Brautsch; L. Lund; Martin M Andersen; P. Jennum; A. P. Folker; S. Andersen,2022,2022-12-01,Sleep medicine reviews,161,44.1,10.1016/j.smrv.2022.101742,https://doi.org/10.1016/j.smrv.2022.101742
Bur25,The Effects of Social Media Restriction: Meta-Analytic Evidence from Randomized Controlled Trials,Kaitlyn Burnell; Diana J. Meter; Fernanda C. Andrade; Ashley Slocum; Madeleine J. George,2025,2025-05-01,SSM - Mental Health,14,11.3,10.1016/j.ssmmh.2025.100459,https://doi.org/10.1016/j.ssmmh.2025.100459
Cai20,The Association of Parent-Child Communication With Internet Addiction in Left-Behind Children in China: A Cross-Sectional Study,Jingjing Cai; Yun Wang; Feng Wang; Jingjing Lu; Lu Li; Xudong Zhou,2020,2020-07-27,International Journal of Public Health,37,6.2,10.3389/ijph.2021.630700,https://doi.org/10.3389/ijph.2021.630700
Cam24,Evidence for and against banning mobile phones in schools: A scoping review,Marilyn A. Campbell; Elizabeth J. Edwards; Donna Pennell; S. Poed; Victoria P. M. Lister; Jenna K. Gillett-Swan; Adrian Kelly; Dajana Zec; Thuy-Anh Nguyen,2024,2024-08-13,Journal of Psychologists and Counsellors in Schools,51,26.1,10.1177/20556365241270394,https://doi.org/10.1177/20556365241270394
Car21,Draconian policy measures are unlikely to prevent disordered gaming,Michelle Colder Carras; V. Stavropoulos; F. Motti-Stefanidi; A. Labrique; M. Griffiths,2021,2021-11-10,Journal of Behavioral Addictions,26,5.5,10.1556/2006.2021.00075,https://doi.org/10.1556/2006.2021.00075
Che09,Internet use and academic achievement: gender differences in early adolescence.,Sunny Chen; Yang-chih Fu,2009,,Adolescence,94,5.5,,https://www.semanticscholar.org/paper/b4430cbbfe4c2c93c736044ea7515323459a9b80
Cho18,"Effect of the Online Game Shutdown Policy on Internet Use, Internet Addiction, and Sleeping Hours in Korean Adolescents.",Jiyun Choi; Hyun-Cheol Cho; Seungmin Lee; Juyeong Kim; Eun-Cheol Park,2018,2018-05-01,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,63,7.6,10.1016/j.jadohealth.2017.11.291,https://doi.org/10.1016/j.jadohealth.2017.11.291
Cot02,Folk devils and moral panics,Simon Cottee,2002,2002-11-01,Theoretical Criminology,719,30.3,10.1177/136248060200600401,https://doi.org/10.1177/136248060200600401
Cur90,The New Revisionism in Mass Communication Research: A Reappraisal,James Curran,1990,1990-06-01,European Journal of Communication,216,6.0,10.1177/0267323190005002002,https://doi.org/10.1177/0267323190005002002
Das20,"Bedtime social media use, sleep, and affective wellbeing in young adults: an experience sampling study.",Ahuti Das-Friebel; Anita Lenneis; A. Realo; Adam N. Sanborn; N. Tang; D. Wolke; A. von Mühlenen; S. Lemola,2020,2020-09-14,"Journal of child psychology and psychiatry, and allied disciplines",59,10.1,10.1111/jcpp.13326,https://doi.org/10.1111/jcpp.13326
Die20,The impact of digital technology use on adolescent well-being ,T. Dienlin; Niklas Johannes,2020,2020-06-01,Dialogues in Clinical Neuroscience,252,40.9,10.31887/DCNS.2020.22.2/tdienlin,https://doi.org/10.31887/DCNS.2020.22.2/tdienlin
Dij14,The association between objectively measured physical activity and academic achievement in Dutch adolescents: findings from the GOALS study.,M. V. Van Dijk; R. D. de Groot; H. Savelberg; Frederik van Acker; P. Kirschner,2014,2014-10-01,Journal of sport & exercise psychology,61,5.2,10.1123/jsep.2014-0014,https://doi.org/10.1123/jsep.2014-0014
Don25,Lost in the net? Broadband internet and youth mental health.,Dante Donati; Ruben Durante; Francesco Sobbrio; Dijana Zejcirovic,2025,2025-07-01,Journal of health economics,19,17.7,10.2139/ssrn.4082581,https://doi.org/10.2139/ssrn.4082581
Edw22,Individual differences in self-esteem and social anxiety predict problem smartphone use in adolescents,E. J. Edwards; Caitlin S. Taylor; R. Vaughan,2022,2022-07-03,School Psychology International,14,3.4,10.1177/01430343221111061,https://doi.org/10.1177/01430343221111061
Elh16,"Fear of missing out, need for touch, anxiety and depression are related to problematic smartphone use",J. Elhai; J. Levine; R. Dvorak; B. Hall,2016,2016-10-01,Comput. Hum. Behav.,953,97.0,10.1016/j.chb.2016.05.079,https://doi.org/10.1016/j.chb.2016.05.079
Fam18,Prevalence of internet gaming disorder in adolescents: A meta-analysis across three decades.,J. Fam,2018,2018-07-13,Scandinavian journal of psychology,343,42.7,10.1111/sjop.12459,https://doi.org/10.1111/sjop.12459
Fer24,Do social media experiments prove a link with mental health: A methodological and meta-analytic review.,Christopher J. Ferguson,2024,2024-05-02,Psychology of Popular Media,38,17.0,10.1037/ppm0000541,https://doi.org/10.1037/ppm0000541
Fin26,"Fast Law, Fragile Rights",L. Finlay; P. Hooton,2026,2026-05-20,Griffith Journal of Law &amp; Human Dignity,0,0.0,10.69970/gjlhd.v13i1.1288,https://doi.org/10.69970/gjlhd.v13i1.1288
Fla23,Cascading bidirectional influences of digital media use and mental health in adolescence.,Jessica S. Flannery; M. Maza; Zelal Kilic; E. Telzer,2023,,Advances in child development and behavior,15,5.0,10.1016/bs.acdb.2022.10.003,https://doi.org/10.1016/bs.acdb.2022.10.003
Gen18,Does Gen Z's emotional intelligence promote iCheating (cheating with iPhone) yet curb iCheating through reduced nomophobia?,Elodie Gentina; T. Tang; Pierre-François Dancoine,2018,2018-11-01,Comput. Educ.,59,7.6,10.1016/J.COMPEDU.2018.07.011,https://doi.org/10.1016/J.COMPEDU.2018.07.011
Geo20,"Young Adolescents’ Digital Technology Use, Perceived Impairments, and Wellbeing in a Representative Sample",Madeleine J. George; Michaeline R Jensen; M. Russell; Anna Gassman-Pines; William E. Copeland; R. Hoyle; C. Odgers,2020,2020-02-06,The Journal of pediatrics,80,12.4,10.1016/j.jpeds.2019.12.002,https://doi.org/10.1016/j.jpeds.2019.12.002
Gil07,‘A day in the life’: advancing a methodology for the cultural study of development and learning in early childhood,J. Gillen; C. Cameron; S. Tapanya; G. Pinto; R. Hancock; S. Young; B. A. Gamannossi,2007,2007-01-24,Early Child Development and Care,97,5.0,10.1080/03004430500393763,https://doi.org/10.1080/03004430500393763
Gio21,Adolescents’ selfie-taking and selfie-editing: A revision of the photo manipulation scale and a moderated mediation model,Francesca Gioia; S. McLean; M. Griffiths; Valentina Boursier,2021,2021-04-10,Current Psychology,42,7.9,10.1007/s12144-021-01702-x,https://doi.org/10.1007/s12144-021-01702-x
Gir22,Impact of mobile phones and wireless devices use on children and adolescents’ mental health: a systematic review,B. Girela-Serrano; Alexander D V Spiers; Ruotong Liu; Shivani Gangadia; M. Toledano; Martina Di Simplicio,2022,2022-06-16,European Child & Adolescent Psychiatry,103,25.0,10.1007/s00787-022-02012-8,https://doi.org/10.1007/s00787-022-02012-8
Gra20b,Taking a Break from Social Media Improves Wellbeing Through Sleep Quality,Sarah Graham; A. Mason; Benjamin C. Riordan; T. Winter; D. Scarf,2020,2020-12-31,"Cyberpsychology, Behavior, and Social Networking",50,9.0,10.1089/cyber.2020.0217,https://doi.org/10.1089/cyber.2020.0217
