doi,pmid,title
10.1503/cmaj.190434,,"Smartphones, social media use and youth mental health"
10.1016/j.jhealeco.2025.103014,,High speed internet and the widening gender gap in adolescent mental health: Evidence from Spanish hospital records.
10.1136/bmj-2026-363695,,Assessing early effects of Australia’s Social Media Minimum Age Act on adolescents’ social media use: observational study
10.1016/j.smrv.2024.101933,,"A bidirectional model of sleep and technology use: A theoretical review of How much, for whom, and which mechanisms."
10.1016/j.labeco.2016.04.004,,"Ill Communication: Technology, distraction & student performance"
10.1108/aea-05-2021-0112,,Banning mobile phones in schools: evidence from regional-level policies in Spain
10.1037/stl0000045,,Relations between college students’ cell phone use during class and grades.
10.1016/j.chb.2020.106645,,"Social media use intensity, social media use problems, and mental health among adolescents: Investigating directionality and mediating processes"
10.18042/cepc/rap.208.13,,La prohibición del teléfono móvil en las escuelas en Francia
10.1016/j.ssmmh.2025.100459,,The Effects of Social Media Restriction: Meta-Analytic Evidence from Randomized Controlled Trials
10.1177/20556365241270394,,Evidence for and against banning mobile phones in schools: A scoping review
,,Internet use and academic achievement: gender differences in early adolescence.
10.1177/136248060200600401,,Folk devils and moral panics
10.1177/0267323190005002002,,The New Revisionism in Mass Communication Research: A Reappraisal
10.1111/jcpp.13326,,"Bedtime social media use, sleep, and affective wellbeing in young adults: an experience sampling study."
10.1123/jsep.2014-0014,,The association between objectively measured physical activity and academic achievement in Dutch adolescents: findings from the GOALS study.
10.2139/ssrn.4082581,,Lost in the net? Broadband internet and youth mental health.
10.1177/01430343221111061,,Individual differences in self-esteem and social anxiety predict problem smartphone use in adolescents
10.1016/j.chb.2016.05.079,,"Fear of missing out, need for touch, anxiety and depression are related to problematic smartphone use"
10.1111/sjop.12459,,Prevalence of internet gaming disorder in adolescents: A meta-analysis across three decades.
10.1037/ppm0000541,,Do social media experiments prove a link with mental health: A methodological and meta-analytic review.
10.69970/gjlhd.v13i1.1288,,"Fast Law, Fragile Rights"
10.1016/j.compedu.2018.07.011,,Does Gen Z's emotional intelligence promote iCheating (cheating with iPhone) yet curb iCheating through reduced nomophobia?
10.1080/03004430500393763,,‘A day in the life’: advancing a methodology for the cultural study of development and learning in early childhood
10.1007/s12144-021-01702-x,,Adolescents’ selfie-taking and selfie-editing: A revision of the photo manipulation scale and a moderated mediation model
10.1089/cyber.2020.0217,,Taking a Break from Social Media Improves Wellbeing Through Sleep Quality
10.1080/17482798.2021.1978674,,Parenting for a digital future: how hopes and fears about technology shape children’s lives
,,Children and Television: The One-Eyed Monster?
10.1080/08964289.2014.965127,,Video Gaming Disorder and Sport and Exercise in Emerging Adulthood: A Longitudinal Study
10.4324/9780203401491-9,,Information and communication technologies and the moral economy of the household
10.1515/nor-2016-0001,,Parent-Pressure
10.1287/mksc.2019.1174,,Protecting Consumers from Themselves: Assessing Consequences of Usage Restriction Laws on Online Game Usage and Spending
10.1542/peds.2015-2151,,Exposure and Use of Mobile Media Devices by Young Children
10.1016/j.compedu.2018.08.012,,The effects of mobile phone use on academic performance: A meta-analysis
10.1093/oso/9780190905781.001.0001,,Digital Domesticity
10.1016/j.econedurev.2020.102009,,The impact of banning mobile phones in Swedish secondary schools
,,[Association of Internet addiction with health promotion lifestyle profile and perceived health status in adolescents].
10.3390/soc13010011,,Children’s Vulnerability to Digital Technology within the Family: A Scoping Review
10.1007/978-3-319-98319-6,,"Parents, Media and Panic through the Years"
10.1111/add.16516,,Harmful compared to what? The problem of gaming and ambiguous causal questions.
10.1556/jba-9-617,,Social anxiety and Internet gaming disorder: The role of motives and metacognitions
,,Digital Parenting. The Challenges for Families in the Digital Age
10.1016/j.jhealeco.2019.102274,,The internet and children's psychological wellbeing.
10.1002/pits.22232,,Remaining connected in the face of cyberbullying: Why social connectedness is important for mental health
10.4467/23538724gs.22.046.17018,,"Korean regulation of the Shutdown Law (셧다운제), and the issue of minors using electronic games and social media"
10.31743/sp.12335,,Rozważania nad prawem i zwyczajem w systemie prawa kontynentalnego
10.47852/bonviewijce62027593,,My Disconnected World: A Study on Students’ Perceptions of Mobile Phone Ban and Digital Well-Being in Urban and Rural Schools
10.47102/annals-acadmedsg.v37n1p9,,Prevalence and correlates of excessive Internet use among youth in Singapore.
10.7748/ns.14.48.22.s31,,Freedom with the net.
10.1515/commun-2020-0028,,The touch-screen generation: Trends in Dutch parents’ perceptions of young children’s media use from 2012–2018
10.1038/s41562-020-0840-y,,Reply to: Underestimating digital media harm
10.1038/s44220-023-00063-7,,Time spent on social media among the least influential factors in adolescent mental health: preliminary results from a panel network analysis
10.1111/camh.12574,,Digital self-harm and suicidality among adolescents.
10.1089/cyber.2019.0257,,"Impact of Problematic Smartphone Use on Mental Health of Adolescent Students: Association with Mood, Symptoms of Depression, and Physical Activity"
10.1007/s12187-018-9529-4,,Internet Use by Children Aged six to nine: Parents’ Beliefs and Knowledge about Risk Prevention
10.1002/jid.3116,,Mobile Phones and Education in Sub‐Saharan Africa: From Youth Practice to Public Policy
10.1016/j.jaac.2019.06.017,,How Much Is Too Much? Examining the Relationship Between Digital Screen Engagement and Psychosocial Functioning in a Confirmatory Cohort Study.
10.1007/s41347-020-00189-w,,Does Taking a Short Break from Social Media Have a Positive Effect on Well-being? Evidence from Three Preregistered Field Experiments
10.1007/s42438-024-00464-6,,Postdigital Young People’s Rights: A Critical Perspective on the UK Government’s Guidance to Ban Phones in England’s Schools
10.19135/revista.consinter.00021.20,,"Educação, celulares e legislação: análise da Lei nº 15.100/2025 sobre o uso de celulares nas escolas"
,,"Digital Health Practices, Social Media Use, and Mental Well-Being Among Teens and Young Adults in the U.S."
10.1016/j.bodyim.2022.08.015,,"""Intermission!"" A short-term social media fast reduces self-objectification among pre-teen and teen dancers."
10.1089/chi.2013.0021,,"Sedentary Behaviors in Fifth-Grade Boys and Girls: Where, with Whom, and Why?"
10.1515/commun-2021-0046,,Investigating the digital media engagements of very young children at home: Reflecting on methodology and ethics
10.2478/nor-2021-0041,,Toddlers’ digital media practices and everyday parental struggles: Interactions and meaning-making as digital media are domesticated
10.23865/barn.v41.6442,,Parental Voices on Screen Time Guidelines in Early Childhood
10.1026/0942-5403/a000392,,The Effect of a 1-Week Abstinence From Instagram on Mental Health in Youth and Young Adults
10.1542/peds.2005-2854,,"Association Between Television, Movie, and Video Game Exposure and School Performance"
10.48017/dj.v11i1.3542,,Escolas e restrições a dispositivos eletrônicos: Lei 15.100/2025
10.1177/14687984251350491,,Digital literacies among infants and toddlers: Everyday engagement of digital media in the home environment
10.1521/jscp.2021.40.6.481,,The Effects of Reducing Social Media Use on Body Esteem Among Transitional-Aged Youth
10.1177/0265407519836170,,Less in-person social interaction with peers among U.S. adolescents in the 21st century and links to loneliness
10.32235/alis.9.0_5,,条例によるゲーム・ネット規制 ――香川県ゲーム条例を題材として――
10.1016/j.medici.2016.04.002,,Problematic computer game use as expression of Internet addiction and its association with self-rated health in the Lithuanian adolescent population.
10.1037/0012-1649.44.1.195,,"A short-term longitudinal study of Internet and computer game use by adolescent boys and girls: prevalence, frequency of use, and psychosocial predictors."
10.1037/ppm0000292,,The relationship between social short-form videos and youth’s well-being: It depends on usage types and content categories.
10.1002/9781405165518.wbeose045.pub2,,Encoding/Decoding
10.1016/j.addbeh.2020.106637,,Why is Internet gaming disorder more prevalent among Chinese male than female adolescents? The role of cognitive mediators.
10.1016/j.addbeh.2022.107239,,"Maladaptive cognitions, loneliness, and social anxiety as potential moderators of the association between Internet gaming time and Internet gaming disorder among adolescent Internet gamers in China."
10.1016/j.chb.2015.03.079,,"Early adolescent Internet game addiction in context: How parents, school, and peers impact youth"
