Jurisdiction,Policy,Type,In force,Evaluation prespecified,Evaluation published,Evidence for this intervention at enactment
Australia,Online Safety Amendment (Social Media Minimum Age) Act 2024,Minimum age,2025-12-10,Yes,Early evaluation published,Correlational only
Japan (Kagawa Prefecture),Ordinance on Countermeasures for Internet and Game Addiction,Daily time limit,2020-04-01,No,None published,Correlational only
"Japan (Toyoake City, Aichi)",Ordinance on appropriate use of smartphones,Daily time limit,2025-10,No,None published,Correlational only
South Korea,"Youth Protection Revision Act (""Shutdown Law"" / ""Cinderella Law"")",Time-of-day curfew,2011-11-20 to 2021-08,No,Evaluated after the fact,Correlational only
Sweden,Public Health Agency (Folkhälsomyndigheten) screen time recommendations,Guidance,2024-09,No,None published,Correlational only
Sweden,Complementary investment in offline youth activity,Offline substitution,2025,No,None published,Theory plus correlational
China,NPPA online gaming restrictions for minors,Time-of-day curfew,2021-09-01,No,"Partial, behaviour only",Correlational only
Brazil,Law restricting smartphone use in schools,School-hours restriction,2025-02,No,Early evaluation published,Correlational only
United States,Surgeon General's Advisory on Social Media and Youth Mental Health,Advisory,2023-05,No,Not applicable (advisory),Correlational only
United States (state level),State school cellphone restrictions,School-hours restriction,2023-2026,No,Largely none published,Correlational only
United Kingdom,"Online Safety Act 2023, children's safety duties",Platform safety duty,2025-07,No,None published,Correlational plus case evidence
France,"Loi n° 2018-698, mobile phone ban in schools",School-hours restriction,2018-08,No,None published,Correlational only
Denmark,Proposed social media minimum age,Minimum age,2025-11,Unknown,Not yet in force,Correlational only
